"","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","cluster"
"69",1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,4
"70",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"71",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,4
"72",0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,1
"73",0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,6
"74",0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,5
"75",1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,5
"76",1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,3
"77",0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,5
"78",0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,5
"79",0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
"80",0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
"81",0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,5
"82",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
"83",0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,5
"84",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
"85",1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,3
"86",0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
"87",0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,5
"88",0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,1
"89",0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2
"90",0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,7
"91",0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,7
"92",0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,7
"93",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,5
"94",1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,3
"95",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,4
"96",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1
"97",1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,3
"98",1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2
"99",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"100",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
"101",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
